State,Population,People per Square Mile,
New Jersey,"8,791,894","1,195.50",
Rhode Island,"1,052,567","1,018.10",
Massachusetts,"6,547,629",839.4,
Connecticut,"3,574,097",738.1,
Maryland,"5,773,552",594.8,
Delaware,"897,934",460.8,
New York,"19,378,102",411.2,
Florida,"18,801,310",350.6,
Pennsylvania,"12,702,379",283.9,
Ohio,"11,536,504",282.3,
California,"37,253,956",239.1,
Illinois,"12,830,632",231.1,
Hawaii,"1,360,301",211.8,
Virginia,"8,001,024",202.6,
North Carolina,"9,535,483",196.1,
Indiana,"6,483,802",181,
Michigan,"9,883,640",174.8,
Georgia,"9,687,653",168.4,
Tennessee,"6,346,105",153.9,
South Carolina,"4,625,364",153.9,
New Hampshire,"1,316,470",147,
Kentucky,"4,339,367",109.9,
Wisconsin,"5,686,986",105,
Louisiana,"4,533,372",104.9,
Washington,"6,724,540",101.2,
Texas,"25,145,561",96.3,
Alabama,"4,779,736",94.4,
Missouri,"5,988,927",87.1,
West Virginia,"1,852,994",77.1,
Vermont,"625,741",67.9,
Minnesota,"5,303,925",66.6,
Mississippi,"2,967,297",63.2,
Arizona,"6,392,017",56.3,
Arkansas,"2,915,918",56,
Oklahoma,"3,751,351",54.7,
Iowa,"3,046,355",54.5,
Colorado,"5,029,196",48.5,
Maine,"1,328,361",43.1,
Oregon,"3,831,074",39.9,
Kansas,"2,853,118",34.9,
Utah,"2,763,885",33.6,
Nevada,"2,700,551",24.6,
Nebraska,"1,826,341",23.8,
Idaho,"1,567,582",19,
New Mexico,"2,059,179",17,
South Dakota,"814,180",10.7,
North Dakota,"672,591",9.7,
Montana,"989,415",6.8,
Wyoming,"563,626",5.8,
Alaska,"710,231",1.2,
,,,
,,,